Duration;ProcessName;ProcessID;CPUms/s;User%;Deadlines;(<2ms,2-5ms);Wakeups;(intr,pkg,idle);EnergyImpact;;;;;;;;
01:02:14;PaymentProcesso;6094;1,14;76,270,000,00;0,00;0,00;5,15;0,00;0,16;;;;;;;;
01:02:19;PaymentProcesso;6094;1,15;90,770,000,00;0,00;0,00;3,95;0,40;0,17;;;;;;;;
01:02:24;PaymentProcesso;6094;1,79;57,310,000,00;0,00;0,00;4,96;0,59;0,18;;;;;;;;
01:02:29;PaymentProcesso;6094;1,56;89,700,000,00;0,00;0,00;4,54;0,59;0,12;;;;;;;;
01:02:34;PaymentProcesso;6094;0,92;67,860,000,00;0,00;0,00;3,95;0,40;0,04;;;;;;;;
01:02:39;PaymentProcesso;6094;1,78;74,220,000,00;0,00;0,00;4,95;0,79;0,12;;;;;;;;
01:02:44;PaymentProcesso;6094;1,36;80,090,000,20;0,00;0,20;4,75;0,40;0,11;;;;;;;;
01:02:49;PaymentProcesso;6094;0,46;82,520,000,00;0,00;0,00;3,56;0,20;0,14;;;;;;;;
01:02:54;PaymentProcesso;6094;2,90;67,960,000,00;0,00;0,00;5,54;0,99;0,27;;;;;;;;
01:02:59;PaymentProcesso;6094;0,90;86,390,000,00;0,00;0,00;3,56;0,59;0,05;;;;;;;;
01:03:04;PaymentProcesso;6094;2,30;72,220,000,00;0,00;0,00;5,74;0,40;0,24;;;;;;;;
01:03:09;PaymentProcesso;6094;6,09;94,470,000,00;0,00;0,00;4,37;0,79;0,78;;;;;;;;
01:03:14;PaymentProcesso;6094;1,20;64,960,000,00;0,00;0,00;4,35;0,40;0,04;;;;;;;;
01:03:19;PaymentProcesso;6094;1,34;89,390,000,00;0,00;0,00;4,15;0,20;0,08;;;;;;;;
01:03:24;PaymentProcesso;6094;4,22;74,770,000,00;0,00;0,00;5,53;0,79;0,50;;;;;;;;
01:03:30;PaymentProcesso;6094;0,91;69,410,000,00;0,00;0,00;4,35;0,59;0,07;;;;;;;;
01:03:35;PaymentProcesso;6094;1,37;82,250,000,00;0,00;0,00;4,74;0,00;0,18;;;;;;;;
01:03:40;PaymentProcesso;6094;2,19;43,210,000,00;0,00;0,00;4,55;0,00;0,26;;;;;;;;
01:03:45;PaymentProcesso;6094;1,73;71,110,000,00;0,00;0,00;4,95;0,40;0,12;;;;;;;;
01:03:50;PaymentProcesso;6094;0,70;86,470,000,00;0,00;0,00;3,36;0,39;0,05;;;;;;;;
01:03:55;PaymentProcesso;6094;2,58;69,660,000,00;0,00;0,00;5,93;0,20;0,21;;;;;;;;
01:04:00;PaymentProcesso;6094;1,06;84,840,000,00;0,00;0,00;3,95;0,79;0,05;;;;;;;;
